id,Title - TH,Title - EN,Photo,Artist - TH,Artist - EN,Length,Lyrics,Album - TH,Album - EN,Released date,"#Views (today, 30 days, total)",Language,Genres,Publisher,Status,Price,Copyright,Track Number,URL iOS,URL Android/Other,URL RTMP
,แสงสุดท้าย,Sang Soot Tai,,บอดี้แสลม,Bodyslam,4:47,,คราม,Kraam,,,Thai,Rock,genie records,,,,,http://stream1.ai-net.net/svod/mp4:Sangsoottai.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/Sangsoottai.mp4,rtmp://stream1.ai-net.net/svod/mp4:Sangsoottai.mp4
,เธอยัง,TUR YOUNG,,โปเตโต้,Potato,4:58,,เบสฮิต,Best Hit,,,Thai,Pop,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:turyoung.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/turyoung.mp4,rtmp://stream1.ai-net.net/svod/mp4:turyoung.mp4
,แพ้ใจ,PAE JAI,,ใหม่ เจริญปุระ,Mai Chroenpura,3:45,,เบสฮิต,Best Hit,,,Thai,Rock,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:paejai.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/paejai.mp4,rtmp://stream1.ai-net.net/svod/mp4:paejai.mp4
,พรหมลิขิต,PROM LI KIT,,บิ๊กแอส,BigAss,4:17,,เบสฮิต,Best Hit,,,Thai,Indy,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:promlikit.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/promlikit.mp4,rtmp://stream1.ai-net.net/svod/mp4:promlikit.mp4
,กลับมาเป็นเหมือนเดิมได้ไหม,GLUB MA PEN MEUAN DEARM DAI MAI,,เครสเซนโด้,Crescendo,4:19,,เบสฮิต,Best Hit,,,Thai,Dance,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:glubmapenmeuandearmdaimai.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/glubmapenmeuandearmdaimai.mp4,rtmp://stream1.ai-net.net/svod/mp4:glubmapenmeuandearmdaimai.mp7
,ไม่รัก...ไม่ต้อง,MAI RAK MAI TAUNG,,นิว&จิ๋ว,New & Jew,4:24,,เบสฮิต,Best Hit,,,Thai,"Hip Hop, R & B",GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:mairakmaitaung.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/mairakmaitaung.mp4,rtmp://stream1.ai-net.net/svod/mp4:mairakmaitaung.mp4
,จากนี้ไปจนนิรันดร์,JARK NEE PAI JON NI RUN,,เอ๊ะ จิรากรณ์,Ae Jirakorn,4:11,,เบสฮิต,Best Hit,,,Thai,Jazz,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:jarkneepaijonnirun.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/jarkneepaijonnirun.mp4,rtmp://stream1.ai-net.net/svod/mp4:jarkneepaijonnirun.mp4
,ช่างไม่รู้เลย,CHARNG MAI ROO LEREI,,พีชเมคเกอร์,Peacemaker,3:39,,เบสฮิต,Best Hit,,,Thai,Luktung,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:charngmairoolerei.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/charngmairoolerei.mp4,rtmp://stream1.ai-net.net/svod/mp4:charngmairoolerei.mp4
,สิ่งสำคัญ,SING SOM KUN,,เอ็นโดรฟิน,Endorphine,3:57,,เบสฮิต,Best Hit,,,Thai,Oldies,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:singsomkun.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/singsomkun.mp4,rtmp://stream1.ai-net.net/svod/mp4:singsomkun.mp4
,คิดถึงนะ,KID TEUNG NA,,มิสเตอร์ เลซี่ Feat. แพรว คณิตกุล,Mr.Lazy Feat. PRAEW KHANITKUL,3:49,,เบสฮิต,Best Hit,,,Thai,Pop,GMM Grammy,,,,,http://stream1.ai-net.net/svod/mp4:kidteungna.mp4/playlist.m3u8,rtsp://stream1.ai-net.net/svod/kidteungna.mp4,rtmp://stream1.ai-net.net/svod/mp4:kidteungna.mp4
